GenderIdentification,Group,TimeMainQuestion,SpecificAge,Pair,Choice,Response ID,Last page,SustainableChoice,__source_file,AttentionCheck,Age
Male,ExternalInformation,23.64,139.0,BPair_2,Backpack A,8,6.0,Yes,results-survey921.csv,Yes,35 – 44 years old
Male,ExternalInformation,28.73,139.0,BPair_2,Backpack A,9,6.0,Yes,results-survey921.csv,Yes,35 – 44 years old
Male,ExternalInformation,41.84,127.0,BPair_2,Backpack A,10,6.0,Yes,results-survey921.csv,Yes,25 – 34 years old
Male,ExternalInformation,101.15,124.0,BPair_2,Backpack B,11,6.0,No,results-survey921.csv,Yes,18 – 24 years old
Male,ExternalInformation,157.51,142.0,BPair_2,Backpack A,12,6.0,Yes,results-survey921.csv,Yes,35 – 44 years old
Female,ExternalInformation,386.36,137.0,BPair_2,Backpack B,8,6.0,Yes,results-survey922.csv,Yes,35 – 44 years old
Female,ExternalInformation,134.76,134.0,BPair_2,Backpack B,9,6.0,Yes,results-survey922.csv,Yes,25 – 34 years old
Female,ExternalInformation,165.87,127.0,BPair_2,Backpack B,10,6.0,Yes,results-survey922.csv,Yes,25 – 34 years old
Female,ExternalInformation,182.59,170.0,BPair_2,Backpack B,11,6.0,Yes,results-survey922.csv,Yes,65 – 74 years old
Male,ExternalInformation,140.77,126.0,BPair_2,Backpack B,12,6.0,Yes,results-survey922.csv,Yes,25 – 34 years old
Other,ExternalInformation,32.34,124.0,BPair_3,Backpack B,9,6.0,Yes,results-survey932.csv,Yes,18 – 24 years old
Male,ExternalInformation,110.33,136.0,BPair_3,Backpack B,10,6.0,Yes,results-survey932.csv,Yes,35 – 44 years old
Male,ExternalInformation,354.47,156.0,BPair_3,Backpack B,11,6.0,Yes,results-survey932.csv,Yes,55 – 64 years old
Female,ExternalInformation,78.17,134.0,BPair_3,Backpack B,13,6.0,Yes,results-survey932.csv,Yes,25 – 34 years old
Male,ExternalInformation,120.18,153.0,BPair_3,Backpack B,15,6.0,Yes,results-survey932.csv,Yes,45 – 54 years old
Male,ExternalInformation,135.12,137.0,BPair_3,Backpack A,9,6.0,Yes,results-survey931.csv,Yes,35 – 44 years old
Male,ExternalInformation,98.74,133.0,BPair_3,Backpack A,10,6.0,Yes,results-survey931.csv,Yes,25 – 34 years old
Female,ExternalInformation,119.9,142.0,BPair_3,Backpack A,11,6.0,Yes,results-survey931.csv,Yes,35 – 44 years old
Female,ExternalInformation,55.68,148.0,BPair_3,Backpack A,12,6.0,Yes,results-survey931.csv,Yes,45 – 54 years old
Male,ExternalInformation,406.48,149.0,BPair_3,Backpack B,13,6.0,No,results-survey931.csv,Yes,45 – 54 years old
Male,ExternalInformation,99.31,132.0,BPair_1,Backpack B,8,6.0,Yes,results-survey912.csv,Yes,25 – 34 years old
Male,ExternalInformation,109.24,130.0,BPair_1,Backpack B,9,6.0,Yes,results-survey912.csv,Yes,25 – 34 years old
Male,ExternalInformation,62.41,132.0,BPair_1,Backpack B,10,6.0,Yes,results-survey912.csv,Yes,25 – 34 years old
Male,ExternalInformation,25.21,146.0,BPair_1,Backpack B,11,6.0,Yes,results-survey912.csv,Yes,45 – 54 years old
Male,ExternalInformation,18.04,137.0,BPair_1,Backpack B,12,6.0,Yes,results-survey912.csv,Yes,35 – 44 years old
Male,ExternalInformation,115.71,141.0,BPair_1,Backpack A,8,6.0,Yes,results-survey911.csv,Yes,35 – 44 years old
Female,ExternalInformation,53.54,164.0,BPair_1,Backpack B,9,6.0,No,results-survey911.csv,Yes,55 – 64 years old
Female,ExternalInformation,57.81,131.0,BPair_1,Backpack A,10,6.0,Yes,results-survey911.csv,Yes,25 – 34 years old
Male,ExternalInformation,14.14,153.0,BPair_1,Backpack B,11,6.0,No,results-survey911.csv,Yes,45 – 54 years old
Female,ExternalInformation,107.73,144.0,BPair_1,Backpack A,12,6.0,Yes,results-survey911.csv,Yes,35 – 44 years old
Female,Control,27.17,126.0,BPair_2,Backpack B,6,5.0,Yes,results-survey622.csv,Yes,25 – 34 years old
Male,Control,64.98,167.0,BPair_2,Backpack A,7,5.0,No,results-survey622.csv,Yes,65 – 74 years old
Female,Control,8.77,136.0,BPair_2,Backpack B,8,5.0,Yes,results-survey622.csv,Yes,35 – 44 years old
Male,Control,6.06,135.0,BPair_2,Backpack A,9,5.0,No,results-survey622.csv,Yes,35 – 44 years old
Male,Control,12.7,163.0,BPair_2,Backpack B,10,5.0,Yes,results-survey622.csv,Yes,55 – 64 years old
Female,Control,94.55,129.0,BPair_2,Backpack B,5,5.0,No,results-survey621.csv,Yes,25 – 34 years old
Male,Control,22.23,134.0,BPair_2,Backpack A,6,5.0,Yes,results-survey621.csv,Yes,25 – 34 years old
Female,Control,18.4,133.0,BPair_2,Backpack B,7,5.0,No,results-survey621.csv,Yes,25 – 34 years old
Male,Control,25.96,136.0,BPair_2,Backpack A,8,5.0,Yes,results-survey621.csv,Yes,35 – 44 years old
Male,Control,351.07,149.0,BPair_2,Backpack B,9,5.0,No,results-survey621.csv,Yes,45 – 54 years old
Male,Control,12.72,120.0,BPair_3,Backpack A,6,5.0,Yes,results-survey631.csv,Yes,18 – 24 years old
