Age,Efectiveness,Group,AttentionCheck,TimeMainQuestion,Transparency,Trust,Satisfaction,__source_file,SustainabilityAwareness/Effectiveness,Pair,Response ID,GenderIdentification,SpecificAge,SustainabilityInclination/Influence,Choice,Last page,Scrutability,Efficiency,Persuadiveness,SustainableChoice,SustainabilityImportance
35 – 44 years old,Agree,ExternalInformation,Yes,23.64,Agree,Agree,Agree,results-survey921.csv,Agree,BPair_2,8,Male,139.0,Neutral,Backpack A,6.0,Agree,Neutral,Agree,Yes,Agree
35 – 44 years old,Neutral,ExternalInformation,Yes,28.73,Neutral,Neutral,Neutral,results-survey921.csv,Neutral,BPair_2,9,Male,139.0,Neutral,Backpack A,6.0,Neutral,Neutral,Neutral,Yes,Neutral
25 – 34 years old,Neutral,ExternalInformation,Yes,41.84,Agree,Neutral,Neutral,results-survey921.csv,Strongly Disagree,BPair_2,10,Male,127.0,Strongly Disagree,Backpack A,6.0,Neutral,Disagree,Disagree,Yes,Neutral
18 – 24 years old,Agree,ExternalInformation,Yes,101.15,Agree,Agree,Agree,results-survey921.csv,Disagree,BPair_2,11,Male,124.0,Strongly Disagree,Backpack B,6.0,Agree,Agree,Agree,No,Disagree
35 – 44 years old,Agree,ExternalInformation,Yes,157.51,Agree,Agree,Agree,results-survey921.csv,Agree,BPair_2,12,Male,142.0,Agree,Backpack A,6.0,Agree,Agree,Agree,Yes,Agree
35 – 44 years old,Disagree,ExternalInformation,Yes,386.36,Strongly Agree,Strongly Agree,Agree,results-survey922.csv,Agree,BPair_2,8,Female,137.0,Agree,Backpack B,6.0,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree
25 – 34 years old,Strongly Disagree,ExternalInformation,Yes,134.76,Agree,Disagree,Disagree,results-survey922.csv,Strongly Agree,BPair_2,9,Female,134.0,Strongly Agree,Backpack B,6.0,Disagree,Strongly Agree,Strongly Disagree,Yes,Neutral
25 – 34 years old,Strongly Agree,ExternalInformation,Yes,165.87,Strongly Agree,Strongly Agree,Strongly Agree,results-survey922.csv,Strongly Agree,BPair_2,10,Female,127.0,Strongly Agree,Backpack B,6.0,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree
65 – 74 years old,Strongly Agree,ExternalInformation,Yes,182.59,Disagree,Agree,Agree,results-survey922.csv,Agree,BPair_2,11,Female,170.0,Strongly Agree,Backpack B,6.0,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Agree
25 – 34 years old,Disagree,ExternalInformation,Yes,140.77,Strongly Agree,Agree,Neutral,results-survey922.csv,Agree,BPair_2,12,Male,126.0,Neutral,Backpack B,6.0,Agree,Disagree,Disagree,Yes,Strongly Agree
18 – 24 years old,Neutral,ExternalInformation,Yes,32.34,Strongly Agree,Agree,Agree,results-survey932.csv,Strongly Agree,BPair_3,9,Other,124.0,Agree,Backpack B,6.0,Agree,Agree,Agree,Yes,Strongly Agree
35 – 44 years old,Disagree,ExternalInformation,Yes,110.33,Neutral,Neutral,Neutral,results-survey932.csv,Neutral,BPair_3,10,Male,136.0,Agree,Backpack B,6.0,Neutral,Disagree,Neutral,Yes,Disagree
55 – 64 years old,Agree,ExternalInformation,Yes,354.47,Agree,Strongly Agree,Neutral,results-survey932.csv,Strongly Agree,BPair_3,11,Male,156.0,Neutral,Backpack B,6.0,Neutral,Agree,Neutral,Yes,Neutral
25 – 34 years old,Agree,ExternalInformation,Yes,78.17,Agree,Agree,Agree,results-survey932.csv,Agree,BPair_3,13,Female,134.0,Agree,Backpack B,6.0,Agree,Agree,Neutral,Yes,Neutral
45 – 54 years old,Strongly Agree,ExternalInformation,Yes,120.18,Strongly Agree,Agree,Strongly Agree,results-survey932.csv,Strongly Agree,BPair_3,15,Male,153.0,Strongly Agree,Backpack B,6.0,Strongly Agree,Strongly Agree,Agree,Yes,Strongly Agree
35 – 44 years old,Strongly Agree,ExternalInformation,Yes,135.12,Agree,Neutral,Strongly Agree,results-survey931.csv,Strongly Agree,BPair_3,9,Male,137.0,Strongly Agree,Backpack A,6.0,Agree,Agree,Strongly Agree,Yes,Strongly Agree
25 – 34 years old,Neutral,ExternalInformation,Yes,98.74,Agree,Neutral,Neutral,results-survey931.csv,Agree,BPair_3,10,Male,133.0,Neutral,Backpack A,6.0,Neutral,Agree,Agree,Yes,Neutral
35 – 44 years old,Agree,ExternalInformation,Yes,119.9,Strongly Agree,Neutral,Strongly Disagree,results-survey931.csv,Disagree,BPair_3,11,Female,142.0,Disagree,Backpack A,6.0,Neutral,Disagree,Neutral,Yes,Neutral
45 – 54 years old,Strongly Agree,ExternalInformation,Yes,55.68,Agree,Agree,Agree,results-survey931.csv,Agree,BPair_3,12,Female,148.0,Agree,Backpack A,6.0,Agree,Agree,Agree,Yes,Strongly Agree
45 – 54 years old,Disagree,ExternalInformation,Yes,406.48,Agree,Agree,Agree,results-survey931.csv,Strongly Agree,BPair_3,13,Male,149.0,Strongly Agree,Backpack B,6.0,Disagree,Strongly Agree,Agree,No,Strongly Agree
25 – 34 years old,Disagree,ExternalInformation,Yes,99.31,Agree,Strongly Disagree,Strongly Agree,results-survey912.csv,Agree,BPair_1,8,Male,132.0,Agree,Backpack B,6.0,Strongly Disagree,Strongly Agree,Agree,Yes,Agree
25 – 34 years old,Neutral,ExternalInformation,Yes,109.24,Agree,Agree,Neutral,results-survey912.csv,Agree,BPair_1,9,Male,130.0,Strongly Agree,Backpack B,6.0,Agree,Neutral,Neutral,Yes,Strongly Agree
25 – 34 years old,Neutral,ExternalInformation,Yes,62.41,Strongly Agree,Agree,Agree,results-survey912.csv,Agree,BPair_1,10,Male,132.0,Strongly Agree,Backpack B,6.0,Agree,Agree,Agree,Yes,Agree
