Choice,SpecificAge,Pair,Response ID,__source_file,TimeMainQuestion,GenderIdentification,Age,Group,SustainableChoice,AttentionCheck,Last page
Hotel B,147.0,HPair_2,4,results-survey522.csv,120.08,Female,45 – 54 years old,Salience,Yes,Yes,6.0
Hotel B,172.0,HPair_2,5,results-survey522.csv,69.11,Female,65 – 74 years old,Salience,Yes,Yes,6.0
Hotel A,136.0,HPair_2,7,results-survey522.csv,7.68,Male,35 – 44 years old,Salience,No,Yes,6.0
Hotel A,126.0,HPair_2,9,results-survey522.csv,46.74,Female,25 – 34 years old,Salience,No,Yes,6.0
Hotel A,130.0,HPair_2,10,results-survey522.csv,24.48,Female,25 – 34 years old,Salience,No,Yes,6.0
Hotel B,125.0,HPair_2,4,results-survey521.csv,103.49,Female,25 – 34 years old,Salience,No,Yes,6.0
Hotel B,123.0,HPair_2,5,results-survey521.csv,41.08,Male,18 – 24 years old,Salience,No,Yes,6.0
Hotel A,140.0,HPair_2,6,results-survey521.csv,84.89,Female,35 – 44 years old,Salience,Yes,Yes,6.0
Hotel A,120.0,HPair_2,7,results-survey521.csv,17.61,Male,18 – 24 years old,Salience,Yes,Yes,6.0
Hotel B,145.0,HPair_2,8,results-survey521.csv,231.28,Male,45 – 54 years old,Salience,No,Yes,6.0
Hotel A,121.0,HPair_3,4,results-survey531.csv,9.05,Female,18 – 24 years old,Salience,Yes,Yes,6.0
Hotel B,147.0,HPair_3,5,results-survey531.csv,37.72,Female,45 – 54 years old,Salience,No,Yes,6.0
Hotel A,124.0,HPair_3,6,results-survey531.csv,63.41,Male,18 – 24 years old,Salience,Yes,Yes,6.0
Hotel B,140.0,HPair_3,7,results-survey531.csv,317.55,Male,35 – 44 years old,Salience,No,Yes,6.0
Hotel A,131.0,HPair_3,9,results-survey531.csv,523.11,Male,25 – 34 years old,Salience,Yes,Yes,6.0
Hotel B,143.0,HPair_3,5,results-survey532.csv,153.37,Male,35 – 44 years old,Salience,Yes,Yes,6.0
Hotel A,123.0,HPair_3,7,results-survey532.csv,68.9,Male,18 – 24 years old,Salience,No,Yes,6.0
Hotel B,127.0,HPair_3,8,results-survey532.csv,143.19,Female,25 – 34 years old,Salience,Yes,Yes,6.0
Hotel B,125.0,HPair_3,9,results-survey532.csv,46.12,Female,25 – 34 years old,Salience,Yes,Yes,6.0
Hotel B,125.0,HPair_3,10,results-survey532.csv,68.04,Female,25 – 34 years old,Salience,Yes,Yes,6.0
Hotel A,124.0,HPair_1,5,results-survey511.csv,29.59,Female,18 – 24 years old,Salience,Yes,Yes,6.0
Hotel B,126.0,HPair_1,6,results-survey511.csv,28.42,Male,25 – 34 years old,Salience,No,Yes,6.0
Hotel B,155.0,HPair_1,7,results-survey511.csv,167.24,Female,55 – 64 years old,Salience,No,Yes,6.0
