SpecificAge,__source_file,TimeMainQuestion,Choice,Age,GenderIdentification,SustainabilityImportance,Group,SustainableChoice,Efficiency,SustainabilityAwareness/Effectiveness,AttentionCheck,SustainabilityInclination/Influence,Response ID,Efectiveness,Satisfaction,Scrutability,Last page,Trust,Persuadiveness,Transparency
147.0,results-survey522.csv,120.08,Hotel B,45 – 54 years old,Female,Agree,Salience,Yes,Neutral,Agree,Yes,Strongly Agree,4,Neutral,Neutral,Disagree,6.0,Neutral,Neutral,Strongly Agree
172.0,results-survey522.csv,69.11,Hotel B,65 – 74 years old,Female,Strongly Agree,Salience,Yes,Agree,Agree,Yes,Strongly Agree,5,Agree,Agree,Strongly Agree,6.0,Agree,Agree,Agree
136.0,results-survey522.csv,7.68,Hotel A,35 – 44 years old,Male,Agree,Salience,No,Agree,Neutral,Yes,Agree,7,Agree,Neutral,Agree,6.0,Neutral,Neutral,Neutral
126.0,results-survey522.csv,46.74,Hotel A,25 – 34 years old,Female,Disagree,Salience,No,Agree,Disagree,Yes,Disagree,9,Neutral,Strongly Disagree,Disagree,6.0,Disagree,Agree,Agree
130.0,results-survey522.csv,24.48,Hotel A,25 – 34 years old,Female,Neutral,Salience,No,Disagree,Agree,Yes,Disagree,10,Neutral,Neutral,Disagree,6.0,Disagree,Disagree,Agree
125.0,results-survey521.csv,103.49,Hotel B,25 – 34 years old,Female,Strongly Agree,Salience,No,Strongly Agree,Strongly Agree,Yes,Strongly Agree,4,Strongly Agree,Strongly Agree,Strongly Agree,6.0,Strongly Agree,Strongly Agree,Strongly Agree
123.0,results-survey521.csv,41.08,Hotel B,18 – 24 years old,Male,Disagree,Salience,No,Neutral,Neutral,Yes,Agree,5,Disagree,Neutral,Strongly Agree,6.0,Neutral,Disagree,Agree
140.0,results-survey521.csv,84.89,Hotel A,35 – 44 years old,Female,Agree,Salience,Yes,Disagree,Disagree,Yes,Disagree,6,Strongly Disagree,Neutral,Strongly Disagree,6.0,Neutral,Neutral,Strongly Agree
120.0,results-survey521.csv,17.61,Hotel A,18 – 24 years old,Male,Disagree,Salience,Yes,Neutral,Neutral,Yes,Agree,7,Neutral,Agree,Strongly Agree,6.0,Neutral,Neutral,Agree
145.0,results-survey521.csv,231.28,Hotel B,45 – 54 years old,Male,Strongly Agree,Salience,No,Agree,Agree,Yes,Agree,8,Agree,Agree,Agree,6.0,Agree,Strongly Agree,Agree
121.0,results-survey531.csv,9.05,Hotel A,18 – 24 years old,Female,Strongly Agree,Salience,Yes,Agree,Agree,Yes,Neutral,4,Agree,Agree,Strongly Agree,6.0,Agree,Neutral,Neutral
147.0,results-survey531.csv,37.72,Hotel B,45 – 54 years old,Female,Agree,Salience,No,Strongly Agree,Agree,Yes,Neutral,5,Neutral,Agree,Agree,6.0,Neutral,Agree,Agree
124.0,results-survey531.csv,63.41,Hotel A,18 – 24 years old,Male,Strongly Agree,Salience,Yes,Strongly Agree,Agree,Yes,Strongly Agree,6,Strongly Agree,Strongly Agree,Strongly Agree,6.0,Strongly Agree,Strongly Agree,Strongly Agree
140.0,results-survey531.csv,317.55,Hotel B,35 – 44 years old,Male,Agree,Salience,No,Strongly Agree,Agree,Yes,Strongly Agree,7,Agree,Agree,Strongly Agree,6.0,Agree,Strongly Agree,Agree
131.0,results-survey531.csv,523.11,Hotel A,25 – 34 years old,Male,Strongly Agree,Salience,Yes,Agree,Agree,Yes,Agree,9,Agree,Agree,Agree,6.0,Agree,Agree,Strongly Agree
143.0,results-survey532.csv,153.37,Hotel B,35 – 44 years old,Male,Strongly Disagree,Salience,Yes,Neutral,Neutral,Yes,Disagree,5,Neutral,Agree,Neutral,6.0,Agree,Agree,Agree
123.0,results-survey532.csv,68.9,Hotel A,18 – 24 years old,Male,Neutral,Salience,No,Agree,Strongly Agree,Yes,Strongly Agree,7,Agree,Agree,Agree,6.0,Agree,Agree,Agree
127.0,results-survey532.csv,143.19,Hotel B,25 – 34 years old,Female,Strongly Agree,Salience,Yes,Strongly Agree,Strongly Agree,Yes,Strongly Agree,8,Agree,Agree,Agree,6.0,Agree,Agree,Agree
125.0,results-survey532.csv,46.12,Hotel B,25 – 34 years old,Female,Neutral,Salience,Yes,Agree,Strongly Disagree,Yes,Disagree,9,Strongly Agree,Agree,Strongly Agree,6.0,Agree,Strongly Agree,Agree
125.0,results-survey532.csv,68.04,Hotel B,25 – 34 years old,Female,Agree,Salience,Yes,Strongly Agree,Agree,Yes,Agree,10,Strongly Agree,Agree,Agree,6.0,Agree,Agree,Agree
124.0,results-survey511.csv,29.59,Hotel A,18 – 24 years old,Female,Agree,Salience,Yes,Agree,Agree,Yes,Neutral,5,Neutral,Agree,Neutral,6.0,Agree,Agree,Agree
126.0,results-survey511.csv,28.42,Hotel B,25 – 34 years old,Male,Strongly Disagree,Salience,No,Strongly Disagree,Strongly Disagree,Yes,Strongly Disagree,6,Strongly Disagree,Strongly Disagree,Strongly Disagree,6.0,Strongly Disagree,Strongly Disagree,Agree
155.0,results-survey511.csv,167.24,Hotel B,55 – 64 years old,Female,Disagree,Salience,No,Disagree,Disagree,Yes,Disagree,7,Disagree,Disagree,Disagree,6.0,Disagree,Disagree,Disagree
128.0,results-survey511.csv,38.29,Hotel A,25 – 34 years old,Male,Agree,Salience,Yes,Disagree,Agree,Yes,Disagree,8,Agree,Disagree,Neutral,6.0,Neutral,Disagree,Strongly Agree
131.0,results-survey511.csv,149.58,Hotel A,25 – 34 years old,Male,Strongly Agree,Salience,Yes,Strongly Agree,Strongly Agree,Yes,Strongly Agree,9,Strongly Agree,Strongly Agree,Strongly Agree,6.0,Strongly Agree,Strongly Agree,Strongly Agree
129.0,results-survey512.csv,76.81,Hotel B,25 – 34 years old,Female,Neutral,Salience,Yes,Neutral,Strongly Agree,Yes,Agree,5,Agree,Agree,Agree,6.0,Neutral,Agree,Neutral
134.0,results-survey512.csv,38.88,Hotel A,25 – 34 years old,Male,Neutral,Salience,No,Strongly Agree,Agree,Yes,Agree,6,Strongly Agree,Neutral,Strongly Agree,6.0,Agree,Disagree,Strongly Agree
130.0,results-survey512.csv,171.17,Hotel B,25 – 34 years old,Male,Agree,Salience,Yes,Strongly Agree,Neutral,Yes,Agree,7,Agree,Strongly Agree,Agree,6.0,Agree,Agree,Disagree
